kingdom,phylum,class,order,family,genus,species,SGB,Bietry_1,Bietry_2,Bietry_3,Kassembie_1,Kassembie_2,status
k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Carnobacteriaceae,g__Jeotgalibaca,s__Jeotgalibaca_dankookensis,t__SGB7901,0.00458,0,0,0,0,Named species
k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Rossellomorea,s__Rossellomorea_aquimaris,t__SGB109819,0.00448,0.04438,0,0,0,Named species
k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Enterococcaceae,g__Enterococcus,s__Enterococcus_casseliflavus,t__SGB7952,0.00444,0,0,0,0,Named species
k__Bacteria,p__Actinomycetota,c__Thermoleophilia,o__Miltoncostaeales,f__Miltoncostaeaceae,g__GGB64250,s__GGB64250_SGB86667,t__SGB86667,0.00441,0.00269,0.3537,0,0,Undescribed
k__Bacteria,p__Bacteroidota,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Aequorivita,s__Aequorivita_aquimaris,t__SGB2715,0.00388,0.90555,0.42065,0,0,Named species
k__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Rhodobacterales,f__Paracoccaceae,g__Thioclava,s__Thioclava_marina,t__SGB10702,0.00342,0.60872,0.00904,0,0,Named species
k__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Moraxellales,f__Moraxellaceae,g__Psychrobacter,s__Psychrobacter_sp_ANT_WB68,t__SGB81604,0.0034,0.00552,0.0056,0,0,Named species
k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Bacillus,s__Bacillus_sp_RAR_GA_16,t__SGB109758,0.00336,0.33249,0.02515,0,0,Named species
k__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Rhodobacterales,f__Roseobacteraceae,g__Thalassovita,s__Thalassobius_vesicularis,t__SGB56723,0.00331,7.1e-4,0.02333,0,0,Named species
k__Bacteria,p__Bacteroidota,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Meridianimaribacter,s__Meridianimaribacter_flavus,t__SGB28012,0.00329,0.20622,0.00759,0,0,Named species
k__Bacteria,p__Bacteroidota,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,s__Flavobacterium_okayamense,t__SGB109355,0.0032,0,0.00705,0,0,Named species
k__Bacteria,p__Bacteroidota,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Winogradskyella,s__Winogradskyella_sp_MH6,t__SGB2845,0.00307,0.09729,0.00163,0,0,Named species
k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Bacillus,s__Bacillus_sp_ISL_41,t__SGB94609,0.00264,0.00433,0,0,0,Named species
k__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Sphingomonadales,f__Erythrobacteraceae,g__Qipengyuania,s__Qipengyuania_aestuarii,t__SGB111651,0.00231,0.0563,0.42279,0,0,Named species
k__Bacteria,p__Bacteroidota,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Maribacter,s__Maribacter_aurantiacus,t__SGB79212,0.0023,0.02584,0.0014,0,0,Named species
k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Clostridiaceae,g__Clostridium,s__Clostridium_tertium,t__SGB6183,0.00226,0,0,0,0,Named species
k__Bacteria,p__Thermodesulfobacteriota,c__CFGB93781,o__OFGB93781,f__FGB93781,g__GGB6246,s__GGB6246_SGB8904,t__SGB8904,0.00223,0,0,0,0,Undescribed
k__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Sphingomonadales,f__Erythrobacteraceae,g__Qipengyuania,s__Qipengyuania_proteolytica,t__SGB111655,0.00214,0.20832,0.08063,0,0,Named species
k__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Moraxellales,f__Moraxellaceae,g__Acinetobacter,s__Acinetobacter_SGB165522,t__SGB165522,0.00199,0.00369,0.02183,0,0,Undescribed
